FIPS,County Name,LHD Region
37001,Alamance,5
37003,Alexander,4
37005,Alleghany,3
37007,Anson,6
37009,Ashe,3
37011,Avery,2
37013,Beaufort,10
37015,Bertie,9
37017,Bladen,8
37019,Brunswick,8
37021,Buncombe,2
37023,Burke,2
37025,Cabarrus,4
37027,Caldwell,2
37029,Camden,9
37031,Carteret,10
37033,Caswell,5
37035,Catawba,4
37037,Chatham,5
37039,Cherokee,1
37041,Chowan,9
37043,Clay,1
37045,Cleveland,4
37047,Columbus,8
37049,Craven,10
37051,Cumberland,6
37053,Currituck,9
37055,Dare,9
37057,Davidson,3
37059,Davie,3
37061,Duplin,8
37063,Durham,5
37065,Edgecombe,7
37067,Forsyth,3
37069,Franklin,7
37071,Gaston,4
37073,Gates,9
37075,Graham,1
37077,Granville,7
37079,Greene,10
37081,Guilford,5
37083,Halifax,7
37085,Harnett,6
37087,Haywood,1
37089,Henderson,2
37091,Hertford,9
37093,Hoke,6
37095,Hyde,9
37097,Iredell,4
37099,Jackson,1
37101,Johnston,7
37103,Jones,10
37105,Lee,6
37107,Lenoir,10
37109,Lincoln,4
37111,McDowell,2
37113,Macon,1
37115,Madison,2
37117,Martin,9
37119,Mecklenburg,4
37121,Mitchell,2
37123,Montgomery,6
37125,Moore,6
37127,Nash,7
37129,New Hanover,8
37131,Northampton,9
37133,Onslow,8
37135,Orange,5
37137,Pamlico,10
37139,Pasquotank,9
37141,Pender,8
37143,Perquimans,9
37145,Person,5
37147,Pitt,10
37149,Polk,2
37151,Randolph,5
37153,Richmond,6
37155,Robeson,8
37157,Rockingham,5
37159,Rowan,4
37161,Rutherford,2
37163,Sampson,8
37165,Scotland,6
37167,Stanly,4
37169,Stokes,3
37171,Surry,3
37173,Swain,1
37175,Transylvania,1
37177,Tyrrell,9
37179,Union,4
37181,Vance,7
37183,Wake,7
37185,Warren,7
37187,Washington,9
37189,Watauga,3
37191,Wayne,10
37193,Wilkes,3
37195,Wilson,7
37197,Yadkin,3
37199,Yancey,2
